q,imax,pmax,grid,tol,tau_eff_global,alpha_found,alpha_value,p,min_IL,ok_IL,min_IM,ok_IM,min_IR,ok_IR,Spp_approx,Spp_pass,cert_IL_L_ok,cert_IL_Lprime_ok,cert_IM_M_ok,min_margin_IL_L,min_margin_IM_M,root_count_window,min_margin_IR_quad,alpha_IR_quad_min
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,137,0.28751847718023166,True,0.2706429414126704,True,1.290253564782188e-05,True,3.990500680409885,True,True,False,False,0.15407027469725523,0.1944204563400635,0,9.355689864366271e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,139,0.3241564021471916,True,0.3040054363044197,True,1.3696416865079347e-05,True,4.235316800828911,True,True,False,False,0.2029208413198685,0.23890378286239589,0,1.0149571081623738e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,149,0.2761866615888236,True,0.2605386338160012,True,1.3395116704107224e-05,True,4.145116091643392,True,True,False,False,0.1389611872420445,0.18094804621117117,0,9.848270920651615e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,151,0.3663560447487406,True,0.3422606932762248,True,1.3630326724797037e-05,True,4.211200175817035,True,True,False,False,0.2591870314552672,0.28991079215813603,0,1.0083480941341427e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,157,0.3814805952668931,True,0.355589275364122,True,1.2754154792940496e-05,True,3.9367515943349214,True,True,False,False,0.2793530988128038,0.3076822349419989,0,9.207309009484887e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,163,0.33005842907983135,True,0.3089962005974305,True,1.28747231140519e-05,True,3.978560790788862,True,True,False,False,0.21079021056338818,0.24555813525307696,0,9.327877330596292e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,167,0.2224809825973545,True,0.2118425977703735,True,1.3262515612225519e-05,True,4.10805763565806,True,True,False,False,0.06735361525341901,0.11601999815033431,0,9.71566982876991e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,173,0.2732981713107263,True,0.25755366860996654,True,1.2719814554242968e-05,True,3.934822229877926,True,True,False,False,0.13510986687124812,0.17696809260312502,0,9.172968770787359e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,179,0.22101167449812228,True,0.21055288814485557,True,1.3550184489178665e-05,True,4.198028509518281,True,True,False,False,0.06539453778777607,0.11430038531631037,0,1.0003338705723056e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,181,0.43259789068544463,True,0.40253610436936493,True,1.3971720517637818e-05,True,4.312124929354596,True,True,False,False,0.34750949270420584,0.3702780069489895,0,1.0424874734182209e-05,0.00011959906005859375
